Frame,NG,NH,T5,TRQ,OIL_PRESS,OIL_TEMP,FF,SPEED,ALT,Unnamed: 10
1,98.973487854004,119.05693054199,699.09686279297,1026.7995740576,84.779556274414,60.426113128662,0.0,107.71339416504,11979.739257813, 
2,97.68115234375,115.23983764648,690.65789794922,1004.3798928711,84.765678405762,60.452869415283,275.62939453125,107.54151153564,11985.275390625, 
3,96.478660583496,116.48606109619,682.8056640625,954.93420179687,84.727897644043,60.476638793945,273.18759155273,107.37212371826,11990.275390625, 
4,95.712341308594,118.42799377441,677.80157470703,922.30581507812,84.692260742188,60.491161346436,270.92147827148,107.25961303711,11993.357421875, 
5,95.00114440918,119.05983734131,673.15747070313,888.24660517578,84.651222229004,60.504131317139,268.88812255859,107.15041351318,11996.166015625, 
6,94.329071044922,118.53968048096,668.76885986328,857.11764768555,84.605575561523,60.515941619873,266.09579467773,107.04301452637,11998.775390625, 
7,93.664520263672,116.78402709961,664.42932128906,829.00033350586,84.554008483887,60.52717590332,263.453125,106.93295288086,12001.313476563, 
8,92.50316619873,116.04035186768,656.845703125,756.40073250977,84.447059631348,60.545516967773,260.82476806641,106.72869110107,12005.708007813, 
9,91.369117736816,114.15984344482,649.44036865234,692.00135456543,84.32487487793,60.562088012695,256.25491333008,106.52350616455,12009.870117188, 
10,90.26146697998,110.09214782715,642.20739746094,653.06067150879,84.189353942871,60.576953887939,251.79409790039,106.3217086792,12013.814453125, 
11,89.179321289063,105.82177734375,635.14099121094,629.99774112549,84.042205810547,60.590179443359,247.43865966797,106.12734985352,12017.552734375, 
12,88.121520996094,101.79734039307,628.23352050781,604.87352321533,83.884948730469,60.601825714111,243.18490600586,105.94375610352,12021.09765625, 
13,87.087348937988,96.550216674805,621.48040771484,589.02917322266,83.718933105469,60.611930847168,239.02815246582,105.77332305908,12024.461914063, 
14,86.076049804688,92.487869262695,614.87658691406,574.26649386475,83.545379638672,60.620544433594,234.96545410156,105.6174621582,12027.658203125, 
15,85.086791992188,89.611183166504,608.41674804688,554.75266582764,83.365364074707,60.627700805664,230.99369812012,105.47668457031,12030.694335938, 
16,84.11865234375,87.956825256348,602.09478759766,526.59227029297,83.17985534668,60.633441925049,227.10954284668,105.35081481934,12033.583984375, 
17,83.170852661133,94.938056945801,595.90563964844,467.23795760742,82.989700317383,60.637798309326,223.30924987793,105.23907470703,12036.336914063, 
18,82.242790222168,94.428077697754,589.84539794922,421.48015656738,82.795654296875,60.640789031982,219.58966064453,105.1403427124,12038.9609375, 
19,81.527160644531,93.071846008301,585.17236328125,397.00094352051,82.642433166504,60.642303466797,215.95120239258,105.07135009766,12040.923828125, 
20,80.993438720703,92.11393737793,581.68713378906,382.99693717773,82.526329040527,60.64298248291,213.14624023438,105.02375030518,12042.353515625, 
21,80.49471282959,91.359115600586,578.43048095703,371.15780268555,82.415817260742,60.643215179443,211.05313110352,104.98204803467,12043.670898438, 
22,80.00146484375,90.667610168457,575.20959472656,360.00731712524,82.304489135742,60.643039703369,209.0970916748,104.94332122803,12044.956054688, 
23,79.524169921875,90.0302734375,572.09283447266,349.66284005005,82.194946289063,60.642490386963,207.16290283203,104.90812683105,12046.18359375, 
24,79.041625976563,87.423637390137,568.94183349609,342.84344870361,82.082290649414,60.641532897949,205.29116821289,104.87474822998,12047.412109375, 
25,78.568382263184,84.885284423828,565.8515625,338.55944236572,81.970077514648,60.640201568604,203.39921569824,104.84404754639,12048.6015625, 
26,78.118255615234,82.526313781738,562.91223144531,335.87032399536,81.861885070801,60.638572692871,201.5440826416,104.81661987305,12049.71875, 
27,77.665863037109,80.416641235352,559.95806884766,333.59311199707,81.751579284668,60.636566162109,199.77941894531,104.79064941406,12050.831054688, 
28,77.219032287598,79.847221374512,557.04028320313,329.44890623169,81.640266418457,60.63419342041,198.00607299805,104.76625061035,12051.92578125, 
29,76.801063537598,79.918846130371,554.31097412109,323.45999015869,81.530708312988,60.631519317627,196.25476074219,104.74373626709,12052.98046875, 
30,76.389801025391,80.124649047852,551.62542724609,315.67815593994,81.417236328125,60.628387451172,194.61624145508,104.72170257568,12054.052734375, 
31,76.001640319824,80.448524475098,549.09069824219,306.94769909546,81.30485534668,60.624919891357,193.00413513184,104.7008895874,12055.098632813, 
32,75.64820098877,80.865447998047,546.78277587891,298.04937352295,81.197937011719,60.621284484863,191.4826965332,104.68173980713,12056.080078125, 
33,75.304008483887,81.364524841309,544.53515625,288.79025848389,81.089408874512,60.617233276367,190.09696960449,104.66271209717,12057.067382813, 
34,74.98104095459,81.923553466797,542.42620849609,279.66338114624,80.983558654785,60.612926483154,188.74760437012,104.64430999756,12058.021484375, 
35,74.66707611084,82.526336669922,540.3759765625,270.265635979,80.87678527832,60.608211517334,187.48123168945,104.62563323975,12058.9765625, 
36,74.369766235352,83.160118103027,538.4345703125,260.9659155249,80.772102355957,60.603210449219,186.25018310547,104.60697174072,12059.909179688, 
37,74.090805053711,83.80103302002,536.61297607422,251.90901725342,80.670669555664,60.597995758057,185.08444213867,104.58829498291,12060.80859375, 
38,73.809539794922,84.457206726074,534.77630615234,242.27441466797,80.565078735352,60.592151641846,183.99026489258,104.56797027588,12061.743164063, 
39,73.541526794434,85.119094848633,533.02618408203,233.02403294434,80.461380004883,60.585987091064,182.88720703125,104.54685974121,12062.661132813, 
40,73.299560546875,85.743499755859,531.44610595703,224.78986700684,80.365219116211,60.57986831665,181.83627319336,104.52600860596,12063.513671875, 
41,73.057846069336,86.341361999512,529.86773681641,216.37567772705,80.266555786133,60.573165893555,180.88702392578,104.5030670166,12064.390625, 
42,72.829460144043,86.917854309082,528.37640380859,208.38665235229,80.170989990234,60.566242218018,179.93891906738,104.4790802002,12065.2421875, 
43,72.615089416504,87.45142364502,526.9765625,200.86173066528,80.079193115234,60.559169769287,179.04306030273,104.45417022705,12066.065429688, 
44,72.404884338379,87.949440002441,525.60388183594,193.37633398315,79.987121582031,60.551628112793,178.20195007324,104.42705535889,12066.895507813, 
45,72.194129943848,88.42366027832,524.22766113281,185.75515450378,79.892700195313,60.543403625488,177.37701416016,104.3967590332,12067.75390625, 
46,71.999656677246,88.857147216797,522.95776367188,178.82067696716,79.803810119629,60.535175323486,176.55018615723,104.36567687988,12068.569335938, 
47,71.815200805664,89.241020202637,521.75323486328,172.28457816711,79.717887878418,60.526744842529,175.78704833984,104.33300018311,12069.364257813, 
48,71.638153076172,89.584770202637,520.59716796875,165.98980473145,79.633903503418,60.518020629883,175.06311035156,104.29828643799,12070.149414063, 
