NG_1,NG_2,NH_1,NH_2,T5_1,T5_2,TRQ_1,TRQ_2,OIL_PRESS_1,OIL_PRESS_2,OIL_TEMP_1,FF_1,FF_2
80.0,80.0,90.7,90.7,575.0,575.0,360.0,360.0,82.0,82.3,61.0,209.0,209.0
79.5,79.5,90.0,90.0,572.0,572.0,350.0,350.0,82.0,82.2,61.0,207.0,207.2
79.0,79.0,87.4,87.4,569.0,569.0,343.0,343.0,,82.1,61.0,205.0,205.3
78.1,78.1,82.5,82.5,563.0,563.0,336.0,336.0,82.0,81.9,61.0,202.0,201.5
77.7,77.7,80.4,80.4,560.0,560.0,334.0,334.0,82.0,81.8,61.0,200.0,199.8
77.2,77.2,79.8,79.8,557.0,557.0,329.0,329.0,82.0,81.6,61.0,198.0,98.0
76.8,76.8,79.9,79.9,554.0,554.0,323.0,323.0,82.0,81.5,61.0,196.0,196.3
76.0,76.0,80.4,80.4,549.0,549.0,307.0,307.0,81.0,81.3,61.0,193.0,193.0
75.6,75.6,80.9,80.9,547.0,547.0,298.0,298.0,81.0,,61.0,191.0,191.5
75.3,75.3,81.4,81.4,545.0,545.0,289.0,289.0,81.0,,61.0,190.0,190.0
75.0,75.0,81.9,81.9,542.0,542.0,280.0,280.0,81.0,,61.0,189.0,88.7
74.7,74.7,82.5,82.5,540.0,540.0,270.0,270.0,81.0,80.9,61.0,187.0,87.5
74.1,74.1,83.8,83.8,537.0,537.0,252.0,252.0,81.0,80.7,61.0,185.0,85.0
73.8,73.8,84.5,84.5,535.0,535.0,242.0,242.0,81.0,80.6,61.0,184.0,84.0
73.5,73.5,85.1,85.1,533.0,533.0,233.0,233.0,80.0,80.5,61.0,183.0,82.9
73.3,73.3,85.7,85.7,531.0,531.0,225.0,225.0,80.0,80.4,61.0,182.0,81.8
73.1,73.1,86.3,86.3,530.0,530.0,216.0,216.0,80.0,80.3,61.0,181.0,80.9
72.8,72.8,86.9,86.9,528.0,528.0,208.0,208.0,80.0,80.2,61.0,180.0,179.9
72.4,72.4,87.9,87.9,526.0,526.0,193.0,193.0,80.0,80.0,61.0,178.0,8.2
72.2,72.2,88.4,88.4,524.0,524.0,186.0,186.0,80.0,79.9,61.0,177.0,
72.0,72.0,88.9,88.9,523.0,523.0,179.0,179.0,80.0,79.8,61.0,177.0,6.6
71.8,71.8,89.2,89.2,522.0,522.0,172.0,172.0,80.0,79.7,61.0,176.0,5.8
71.6,71.6,89.6,89.6,521.0,521.0,166.0,166.0,80.0,79.6,61.0,175.0,75.0
71.3,71.3,90.1,90.1,518.0,518.0,155.0,155.0,79.0,79.5,61.0,174.0,73.7
71.2,71.2,90.4,90.4,517.0,517.0,149.0,149.0,79.0,79.4,60.0,173.0,73.0
71.0,71.0,90.6,90.6,516.0,516.0,144.0,144.0,79.0,9.3,60.0,172.0,12.5
70.9,70.9,90.7,90.7,516.0,516.0,139.0,139.0,79.0,9.2,60.0,172.0,
70.6,70.6,91.0,91.0,514.0,514.0,131.0,131.0,79.0,79.0,60.0,171.0,0.8
70.5,70.5,91.0,91.0,513.0,513.0,128.0,128.0,79.0,79.0,60.0,170.0,0.3
70.4,70.4,91.1,91.1,512.0,512.0,124.0,124.0,79.0,79.0,60.0,170.0,69.8
70.2,70.2,91.1,91.1,512.0,512.0,121.0,121.0,79.0,8.9,60.0,169.0,69.4
70.0,70.0,91.1,91.1,510.0,510.0,116.0,116.0,79.0,8.8,60.0,168.0,68.5
69.9,69.9,91.0,91.0,509.0,509.0,113.0,113.0,79.0,78.7,60.0,168.0,68.0
69.8,69.8,91.0,91.0,509.0,509.0,112.0,112.0,79.0,78.7,60.0,168.0,67.6
69.7,69.7,90.9,90.9,508.0,508.0,111.0,111.0,79.0,8.6,60.0,167.0,67.3
69.6,69.6,90.9,90.9,508.0,508.0,111.0,111.0,79.0,8.6,60.0,167.0,66.9
69.5,69.5,90.7,90.7,506.0,506.0,111.0,111.0,78.0,8.5,60.0,166.0,66.2
69.4,69.4,90.6,90.6,506.0,506.0,112.0,112.0,78.0,78.4,60.0,166.0,65.8
69.3,69.3,90.5,90.5,505.0,505.0,113.0,113.0,78.0,78.4,60.0,166.0,65.5
69.2,69.2,90.4,90.4,505.0,505.0,113.0,113.0,78.0,8.3,60.0,165.0,65.2
69.1,69.1,90.2,90.2,504.0,504.0,115.0,115.0,78.0,8.3,60.0,165.0,164.6
69.0,69.0,90.1,90.1,503.0,503.0,116.0,116.0,78.0,78.2,60.0,164.0,164.3
68.9,68.9,90.0,90.0,503.0,503.0,117.0,117.0,78.0,78.2,60.0,164.0,64.0
68.9,68.9,89.9,89.9,503.0,503.0,118.0,118.0,78.0,78.0,60.0,164.0,63.8
68.8,68.8,89.9,89.9,502.0,502.0,119.0,119.0,78.0,78.0,60.0,164.0,163.5
68.7,68.7,89.7,89.7,501.0,501.0,120.0,120.0,78.0,78.0,60.0,163.0,63.0
68.6,68.6,89.6,89.6,501.0,501.0,121.0,121.0,78.0,8.0,60.0,163.0,62.8
68.6,68.6,89.5,89.5,501.0,501.0,122.0,122.0,78.0,8.0,60.0,163.0,62.6
68.5,68.5,89.5,89.5,500.0,500.0,122.0,122.0,78.0,7.9,60.0,162.0,62.4
68.4,68.4,89.3,89.3,500.0,500.0,124.0,124.0,78.0,77.9,60.0,162.0,62.0
68.4,68.4,89.3,89.3,499.0,499.0,124.0,124.0,78.0,77.8,60.0,162.0,61.8
68.4,68.4,89.3,89.3,499.0,499.0,124.0,124.0,78.0,77.8,60.0,162.0,61.6
68.3,68.3,89.2,89.2,499.0,499.0,125.0,125.0,78.0,77.8,60.0,161.0,61.4
68.2,68.2,89.2,89.2,498.0,498.0,125.0,125.0,78.0,77.7,60.0,161.0,1.0
68.2,68.2,89.1,89.1,498.0,498.0,125.0,125.0,78.0,77.7,60.0,161.0,60.9
68.1,68.1,89.1,89.1,498.0,498.0,125.0,125.0,78.0,77.7,60.0,161.0,60.8
68.1,68.1,89.1,89.1,498.0,498.0,125.0,125.0,78.0,77.6,60.0,161.0,60.6
68.1,68.1,89.1,89.1,497.0,497.0,125.0,125.0,78.0,77.6,60.0,160.0,60.5
68.0,68.0,89.1,89.1,497.0,497.0,126.0,126.0,78.0,77.6,60.0,160.0,60.2
68.1,68.1,89.1,89.1,498.0,498.0,126.0,126.0,78.0,77.6,60.0,160.0,60.2
68.2,68.2,89.1,89.1,498.0,498.0,127.0,127.0,78.0,,60.0,160.0,60.5
68.4,68.4,89.1,89.1,499.0,499.0,129.0,129.0,78.0,,60.0,161.0,60.9
68.6,68.6,89.2,89.2,501.0,501.0,130.0,130.0,78.0,7.5,60.0,162.0,61.6
69.2,69.2,89.2,89.2,505.0,505.0,133.0,133.0,78.0,,60.0,163.0,163.5
69.5,69.5,89.3,89.3,507.0,507.0,134.0,134.0,78.0,,60.0,165.0,164.6
69.8,69.8,89.3,89.3,509.0,509.0,134.0,134.0,78.0,,60.0,166.0,65.9
70.1,70.1,89.3,89.3,511.0,511.0,133.0,133.0,78.0,,60.0,167.0,67.2
70.5,70.5,89.3,89.3,513.0,513.0,133.0,133.0,78.0,,60.0,168.0,68.4
71.2,71.2,89.4,89.4,517.0,517.0,137.0,137.0,78.0,77.6,60.0,171.0,1.0
71.5,71.5,89.4,89.4,520.0,520.0,141.0,141.0,78.0,77.6,60.0,172.0,2.3
71.8,71.8,89.5,89.5,522.0,522.0,145.0,145.0,78.0,77.7,60.0,174.0,73.7
72.2,72.2,89.6,89.6,524.0,524.0,150.0,150.0,78.0,77.7,60.0,175.0,75.0
72.5,72.5,89.7,89.7,526.0,526.0,156.0,156.0,78.0,77.7,60.0,176.0,
73.3,73.3,89.8,89.8,531.0,531.0,167.0,167.0,78.0,77.8,60.0,179.0,79.0
73.6,73.6,89.9,89.9,534.0,534.0,173.0,173.0,78.0,77.9,60.0,181.0,80.5
74.0,74.0,90.0,90.0,536.0,536.0,179.0,179.0,78.0,77.9,60.0,182.0,81.9
74.3,74.3,90.1,90.1,538.0,538.0,184.0,184.0,78.0,78.0,60.0,183.0,83.3
75.1,75.1,90.3,90.3,543.0,543.0,197.0,197.0,78.0,78.0,60.0,186.0,86.0
75.4,75.4,90.4,90.4,545.0,545.0,203.0,203.0,78.0,78.0,59.0,188.0,87.5
75.8,75.8,90.6,90.6,548.0,548.0,210.0,210.0,78.0,78.2,59.0,189.0,89.0
76.2,76.2,90.7,90.7,550.0,550.0,217.0,217.0,78.0,8.3,59.0,190.0,90.4
76.9,76.9,90.9,90.9,555.0,555.0,232.0,232.0,78.0,78.4,59.0,193.0,93.4
77.3,77.3,91.0,91.0,558.0,558.0,241.0,241.0,78.0,78.5,59.0,195.0,194.8
77.7,77.7,91.1,91.1,560.0,560.0,250.0,250.0,79.0,78.5,59.0,196.0,96.4
78.1,78.1,91.2,91.2,563.0,563.0,259.0,259.0,79.0,8.6,59.0,198.0,197.9
78.9,78.9,94.0,94.0,568.0,568.0,272.0,272.0,79.0,78.7,59.0,201.0,
79.4,79.4,96.0,96.0,571.0,571.0,276.0,276.0,79.0,78.8,59.0,203.0,202.6
79.8,79.8,98.0,98.0,574.0,574.0,277.0,277.0,79.0,78.9,59.0,204.0,204.3
80.2,80.2,99.8,99.8,576.0,576.0,277.0,277.0,79.0,79.0,59.0,206.0,205.9
81.0,81.0,100.1,100.1,582.0,582.0,284.0,284.0,79.0,79.0,59.0,209.0,209.2
81.6,81.6,99.5,99.5,585.0,585.0,295.0,295.0,79.0,79.2,59.0,211.0,20.9
82.0,82.0,98.7,98.7,588.0,588.0,307.0,307.0,79.0,79.3,59.0,213.0,22.9
82.5,82.5,97.9,97.9,591.0,591.0,321.0,321.0,79.0,79.4,59.0,215.0,
83.3,83.3,96.3,96.3,597.0,597.0,354.0,354.0,80.0,79.6,59.0,218.0,28.0
83.8,83.8,95.5,95.5,600.0,600.0,374.0,374.0,80.0,79.7,59.0,220.0,219.8
84.3,84.3,94.7,94.7,603.0,603.0,396.0,396.0,80.0,79.8,59.0,222.0,221.6
84.8,84.8,91.3,91.3,607.0,607.0,427.0,427.0,80.0,79.9,59.0,223.0,223.5
85.8,85.8,82.8,82.8,613.0,613.0,502.0,502.0,80.0,80.0,59.0,227.0,227.4
86.2,86.2,81.9,81.9,616.0,616.0,537.0,537.0,80.0,80.0,59.0,229.0,229.3
86.7,86.7,81.5,81.5,619.0,619.0,571.0,571.0,80.0,80.2,59.0,231.0,
87.2,87.2,81.2,81.2,623.0,623.0,603.0,603.0,80.0,80.3,59.0,233.0,233.0
88.3,88.3,80.9,80.9,629.0,629.0,664.0,664.0,81.0,80.5,59.0,237.0,237.0
88.8,88.8,81.5,81.5,632.0,632.0,690.0,690.0,81.0,80.6,59.0,239.0,239.0
89.3,89.3,82.2,82.2,636.0,636.0,717.0,717.0,81.0,80.7,59.0,241.0,241.0
89.7,89.7,83.0,83.0,639.0,639.0,744.0,744.0,81.0,80.8,59.0,243.0,242.9
90.6,90.6,83.8,83.8,644.0,644.0,801.0,801.0,81.0,,59.0,246.0,246.5
91.0,91.0,84.5,84.5,647.0,647.0,829.0,829.0,81.0,81.2,59.0,248.0,248.0
91.4,91.4,85.3,85.3,650.0,650.0,854.0,854.0,81.0,81.3,59.0,250.0,249.7
91.8,91.8,85.9,85.9,652.0,652.0,877.0,877.0,81.0,81.4,59.0,251.0,251.3
92.5,92.5,87.6,87.6,657.0,657.0,919.0,919.0,82.0,81.6,59.0,254.0,254.0
92.8,92.8,88.8,88.8,659.0,659.0,940.0,940.0,82.0,,59.0,255.0,255.4
93.1,93.1,90.1,90.1,661.0,661.0,960.0,960.0,82.0,81.8,59.0,257.0,256.7
93.4,93.4,91.2,91.2,663.0,663.0,979.0,979.0,82.0,81.8,59.0,258.0,257.9
93.9,93.9,92.4,92.4,666.0,666.0,1017.0,1017.0,82.0,82.0,59.0,260.0,260.0
94.2,94.2,92.9,92.9,668.0,668.0,1037.0,1037.0,82.0,82.0,59.0,261.0,261.0
94.4,94.4,93.9,93.9,669.0,669.0,1054.0,1054.0,82.0,82.2,59.0,262.0,262.0
94.6,94.6,95.1,95.1,671.0,671.0,1069.0,1069.0,82.0,82.3,59.0,263.0,262.9
95.0,95.0,98.0,98.0,673.0,673.0,1089.0,1089.0,82.0,82.5,59.0,265.0,264.6
95.2,95.2,99.4,99.4,674.0,674.0,1096.0,1096.0,83.0,82.5,59.0,265.0,265.3
95.4,95.4,100.5,100.5,676.0,676.0,1100.0,1100.0,83.0,82.6,59.0,266.0,266.0
95.5,95.5,101.6,101.6,677.0,677.0,1102.0,1102.0,83.0,82.7,59.0,267.0,266.7
95.8,95.8,103.3,103.3,679.0,679.0,1104.0,1104.0,83.0,82.8,59.0,268.0,267.9
96.0,96.0,104.0,104.0,679.0,679.0,1104.0,1104.0,83.0,82.9,59.0,268.0,268.5
96.1,96.1,104.5,104.5,680.0,680.0,1104.0,1104.0,83.0,83.0,59.0,269.0,269.0
96.3,96.3,104.9,104.9,682.0,682.0,1106.0,1106.0,83.0,83.1,59.0,270.0,269.5
96.4,96.4,104.8,104.8,682.0,682.0,1108.0,1108.0,83.0,83.0,59.0,270.0,269.0
96.5,96.5,104.6,104.6,683.0,683.0,1111.0,1111.0,83.0,83.2,59.0,270.0,269.9
96.6,96.6,104.2,104.2,684.0,684.0,1116.0,1116.0,83.0,83.3,59.0,270.0,210.0
96.8,96.8,103.3,103.3,685.0,685.0,1127.0,1127.0,83.0,83.4,59.0,270.0,210.4
96.8,96.8,102.6,102.6,685.0,685.0,1135.0,1135.0,83.0,83.4,59.0,271.0,210.6
96.9,96.9,102.0,102.0,686.0,686.0,1143.0,1143.0,83.0,83.5,59.0,271.0,210.7
97.0,97.0,101.3,101.3,686.0,686.0,1151.0,1151.0,84.0,83.5,59.0,271.0,20.9
97.1,97.1,100.1,100.1,687.0,687.0,1169.0,1169.0,84.0,83.6,59.0,271.0,271.0
97.2,97.2,99.4,99.4,687.0,687.0,1178.0,1178.0,84.0,83.6,59.0,271.0,271.2
97.2,97.2,98.9,98.9,688.0,688.0,1186.0,1186.0,84.0,83.7,59.0,271.0,271.3
97.3,97.3,97.9,97.9,688.0,688.0,1202.0,1202.0,84.0,83.7,59.0,271.0,271.5
97.4,97.4,97.6,97.6,689.0,689.0,1209.0,1209.0,84.0,83.8,59.0,272.0,271.6
97.4,97.4,97.3,97.3,689.0,689.0,1215.0,1215.0,84.0,83.8,59.0,272.0,271.7
97.4,97.4,97.1,97.1,689.0,689.0,1221.0,1221.0,84.0,83.8,59.0,272.0,271.7
97.5,97.5,96.8,96.8,690.0,690.0,1230.0,1230.0,84.0,83.9,59.0,272.0,271.9
97.5,97.5,96.8,96.8,690.0,690.0,1234.0,1234.0,84.0,83.9,59.0,272.0,271.9
97.6,97.6,96.9,96.9,690.0,690.0,1237.0,1237.0,84.0,84.0,59.0,272.0,22.0
97.6,97.6,97.1,97.1,690.0,690.0,1240.0,1240.0,84.0,84.0,59.0,272.0,22.0
97.6,97.6,97.3,97.3,690.0,690.0,1241.0,1241.0,84.0,84.0,59.0,272.0,22.0
97.7,97.7,97.5,97.5,691.0,691.0,1241.0,1241.0,84.0,84.0,59.0,272.0,202.2
97.7,97.7,97.8,97.8,691.0,691.0,1241.0,1241.0,84.0,84.0,59.0,272.0,202.2
97.7,97.7,98.3,98.3,691.0,691.0,1239.0,1239.0,84.0,84.0,59.0,272.0,22.3
97.8,97.8,98.5,98.5,691.0,691.0,1238.0,1238.0,84.0,84.2,59.0,272.0,22.3
97.8,97.8,98.7,98.7,691.0,691.0,1237.0,1237.0,84.0,84.2,59.0,272.0,22.4
97.8,97.8,99.1,99.1,691.0,691.0,1234.0,1234.0,84.0,84.2,59.0,272.0,272.4
97.8,97.8,99.2,99.2,692.0,692.0,1233.0,1233.0,84.0,84.2,59.0,272.0,22.5
97.8,97.8,99.3,99.3,692.0,692.0,1232.0,1232.0,84.0,84.2,59.0,272.0,272.5
97.8,97.8,99.4,99.4,692.0,692.0,1231.0,1231.0,84.0,84.3,59.0,273.0,22.5
97.9,97.9,99.5,99.5,692.0,692.0,1230.0,1230.0,84.0,84.3,59.0,273.0,22.6
97.9,97.9,99.5,99.5,692.0,692.0,1230.0,1230.0,84.0,84.3,59.0,273.0,22.6
97.9,97.9,99.5,99.5,692.0,692.0,1230.0,1230.0,84.0,84.3,59.0,273.0,22.6
97.9,97.9,99.4,99.4,692.0,692.0,1230.0,1230.0,84.0,84.3,59.0,273.0,22.6
97.9,97.9,99.3,99.3,692.0,692.0,1231.0,1231.0,84.0,84.3,59.0,273.0,22.6
97.9,97.9,99.2,99.2,692.0,692.0,1232.0,1232.0,84.0,84.4,59.0,273.0,272.7
97.9,97.9,99.1,99.1,692.0,692.0,1233.0,1233.0,84.0,84.4,59.0,273.0,202.7
97.9,97.9,99.0,99.0,692.0,692.0,1234.0,1234.0,84.0,84.4,59.0,273.0,22.7
97.9,97.9,98.9,98.9,692.0,692.0,1235.0,1235.0,84.0,84.4,59.0,273.0,22.7
97.9,97.9,98.7,98.7,692.0,692.0,1238.0,1238.0,84.0,84.4,59.0,273.0,22.7
97.9,97.9,98.6,98.6,692.0,692.0,1239.0,1239.0,84.0,84.4,59.0,273.0,22.7
98.0,98.0,98.5,98.5,692.0,692.0,1240.0,1240.0,84.0,84.4,59.0,273.0,22.7
98.0,98.0,98.4,98.4,693.0,693.0,1242.0,1242.0,84.0,84.4,59.0,273.0,22.8
98.0,98.0,98.3,98.3,693.0,693.0,1243.0,1243.0,84.0,84.4,59.0,273.0,22.8
98.0,98.0,98.3,98.3,693.0,693.0,1243.0,1243.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.3,98.3,693.0,693.0,1244.0,1244.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.3,98.3,693.0,693.0,1245.0,1245.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.4,98.4,693.0,693.0,1245.0,1245.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.4,98.4,693.0,693.0,1245.0,1245.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.5,98.5,693.0,693.0,1245.0,1245.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.5,98.5,693.0,693.0,1245.0,1245.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.6,98.6,693.0,693.0,1245.0,1245.0,84.0,84.5,59.0,273.0,22.8
98.0,98.0,98.6,98.6,693.0,693.0,1244.0,1244.0,85.0,84.5,59.0,273.0,22.8
98.0,98.0,98.7,98.7,693.0,693.0,1244.0,1244.0,85.0,84.5,59.0,273.0,22.8
98.0,98.0,98.7,98.7,693.0,693.0,1244.0,1244.0,85.0,84.5,59.0,273.0,22.8
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.8
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.8
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.8
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.8
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.8,98.8,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1243.0,1243.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1244.0,1244.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1244.0,1244.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1244.0,1244.0,85.0,84.5,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.6,98.6,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1246.0,1246.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
98.0,98.0,98.7,98.7,693.0,693.0,1245.0,1245.0,85.0,84.6,59.0,273.0,22.9
