ALT,SPEED,HEAD
27640.0,368.0,126.0
27640.0,358.0,126.0
27640.0,358.0,126.0
27640.0,358.0,126.0
27640.0,358.0,126.0
27640.0,358.0,126.0
27650.0,358.0,126.0
27650.0,358.0,126.0
27650.0,358.0,126.0
27650.0,358.0,126.0
27650.0,358.0,126.0
27650.0,358.0,126.0
27660.0,367.0,126.0
27660.0,367.0,126.0
27660.0,367.0,126.0
27670.0,367.0,126.0
27670.0,367.0,126.0
27670.0,367.0,126.0
27690.0,367.0,126.0
27690.0,367.0,126.0
27690.0,367.0,126.0
27690.0,367.0,126.0
27690.0,367.0,126.0
27690.0,367.0,126.0
27700.0,367.0,126.0
27700.0,367.0,126.0
27700.0,367.0,126.0
27700.0,366.0,126.0
27700.0,366.0,126.0
27700.0,366.0,126.0
27720.0,366.0,126.0
27720.0,366.0,126.0
27720.0,366.0,126.0
27730.0,366.0,126.0
27730.0,366.0,126.0
27730.0,366.0,126.0
27740.0,366.0,125.0
27740.0,366.0,125.0
27740.0,366.0,125.0
27740.0,365.0,125.0
27740.0,365.0,125.0
27740.0,365.0,125.0
27760.0,365.0,125.0
27760.0,365.0,125.0
27760.0,365.0,125.0
27770.0,364.0,125.0
27770.0,364.0,125.0
27770.0,364.0,125.0
27780.0,364.0,125.0
27780.0,364.0,125.0
27780.0,364.0,125.0
27790.0,364.0,125.0
27790.0,364.0,125.0
27790.0,364.0,125.0
27810.0,363.0,125.0
27810.0,363.0,125.0
27810.0,363.0,125.0
27820.0,364.0,125.0
27820.0,364.0,125.0
27820.0,364.0,125.0
27830.0,363.0,125.0
27830.0,363.0,125.0
27830.0,363.0,125.0
27840.0,363.0,125.0
27840.0,363.0,125.0
27840.0,363.0,125.0
27850.0,362.0,125.0
27850.0,362.0,125.0
27850.0,362.0,125.0
27870.0,362.0,125.0
27870.0,362.0,125.0
27870.0,362.0,125.0
27890.0,362.0,125.0
27890.0,362.0,125.0
27890.0,362.0,125.0
27890.0,362.0,125.0
27890.0,362.0,125.0
27890.0,362.0,125.0
27910.0,361.0,125.0
27910.0,361.0,125.0
27910.0,361.0,125.0
27920.0,361.0,125.0
27920.0,361.0,125.0
27920.0,361.0,125.0
27950.0,350.0,125.0
27950.0,350.0,125.0
27950.0,350.0,125.0
27950.0,350.0,125.0
27950.0,350.0,125.0
27950.0,350.0,125.0
27970.0,359.0,126.0
27970.0,359.0,126.0
27970.0,359.0,126.0
27990.0,359.0,126.0
27990.0,359.0,126.0
27990.0,359.0,126.0
28010.0,358.0,126.0
28010.0,358.0,126.0
28010.0,358.0,126.0
28020.0,359.0,126.0
28020.0,359.0,126.0
28020.0,359.0,126.0
28030.0,358.0,126.0
28030.0,358.0,126.0
28030.0,358.0,126.0
28050.0,358.0,126.0
28050.0,358.0,126.0
28050.0,358.0,126.0
28080.0,358.0,126.0
28080.0,358.0,126.0
28080.0,358.0,126.0
28090.0,357.0,126.0
28090.0,357.0,126.0
28090.0,357.0,126.0
28100.0,357.0,126.0
28100.0,357.0,126.0
28100.0,357.0,126.0
28120.0,357.0,126.0
28120.0,357.0,126.0
28120.0,357.0,126.0
28150.0,356.0,127.0
28150.0,356.0,127.0
28150.0,356.0,127.0
28170.0,356.0,127.0
28170.0,356.0,127.0
28170.0,356.0,127.0
28180.0,356.0,127.0
28180.0,356.0,127.0
28180.0,356.0,127.0
28190.0,355.0,128.0
28190.0,355.0,128.0
28190.0,355.0,128.0
28220.0,355.0,128.0
28220.0,355.0,128.0
28220.0,355.0,128.0
28230.0,355.0,128.0
28230.0,355.0,128.0
28230.0,355.0,128.0
28260.0,354.0,129.0
28260.0,354.0,129.0
28260.0,354.0,129.0
28270.0,354.0,129.0
28270.0,354.0,129.0
28270.0,354.0,129.0
28300.0,354.0,129.0
28300.0,354.0,129.0
28300.0,354.0,129.0
28310.0,354.0,130.0
28310.0,354.0,130.0
28310.0,354.0,130.0
28330.0,354.0,130.0
28330.0,354.0,130.0
28330.0,354.0,130.0
28340.0,353.0,130.0
28340.0,353.0,130.0
28340.0,353.0,130.0
28360.0,353.0,130.0
28360.0,353.0,130.0
28360.0,353.0,130.0
28370.0,353.0,131.0
28370.0,353.0,131.0
28370.0,353.0,131.0
28400.0,353.0,131.0
28400.0,353.0,131.0
28400.0,353.0,131.0
28410.0,352.0,131.0
28410.0,352.0,131.0
28410.0,352.0,131.0
28420.0,352.0,131.0
28420.0,352.0,131.0
28420.0,352.0,131.0
28440.0,352.0,131.0
28440.0,352.0,131.0
28440.0,352.0,131.0
28470.0,352.0,131.0
28470.0,352.0,131.0
28470.0,352.0,131.0
28490.0,352.0,131.0
28490.0,352.0,131.0
28490.0,352.0,131.0
28500.0,352.0,131.0
28500.0,352.0,131.0
28500.0,352.0,131.0
28520.0,352.0,131.0
28520.0,352.0,131.0
28520.0,352.0,131.0
28540.0,351.0,131.0
28540.0,351.0,131.0
28540.0,351.0,131.0
28550.0,351.0,131.0
28550.0,351.0,131.0
28550.0,351.0,131.0
28570.0,351.0,131.0
28570.0,351.0,131.0
28570.0,351.0,131.0
28580.0,351.0,130.0
28580.0,351.0,130.0
28580.0,351.0,130.0
28600.0,351.0,130.0
28600.0,351.0,130.0
28600.0,351.0,130.0
28610.0,351.0,130.0
28610.0,351.0,130.0
28610.0,351.0,130.0
28630.0,351.0,130.0
28630.0,351.0,130.0
28630.0,351.0,130.0
28640.0,351.0,130.0
28640.0,351.0,130.0
28640.0,351.0,130.0
28660.0,351.0,129.0
28660.0,351.0,129.0
28660.0,351.0,129.0
28670.0,351.0,129.0
28670.0,351.0,129.0
28670.0,351.0,129.0
28690.0,350.0,129.0
28690.0,350.0,129.0
28690.0,350.0,129.0
28690.0,350.0,129.0
28690.0,350.0,129.0
28690.0,350.0,129.0
28700.0,350.0,129.0
28700.0,350.0,129.0
28700.0,350.0,129.0
28710.0,350.0,129.0
28710.0,350.0,129.0
28710.0,350.0,129.0
28730.0,350.0,129.0
28730.0,350.0,129.0
28730.0,350.0,129.0
28740.0,350.0,128.0
28740.0,350.0,128.0
28740.0,350.0,128.0
28740.0,350.0,128.0
28740.0,350.0,128.0
28740.0,350.0,128.0
28750.0,350.0,128.0
28750.0,350.0,128.0
28750.0,350.0,128.0
28770.0,350.0,128.0
28770.0,350.0,128.0
28770.0,350.0,128.0
28780.0,349.0,128.0
28780.0,349.0,128.0
28780.0,349.0,128.0
28780.0,350.0,128.0
28780.0,350.0,128.0
28780.0,350.0,128.0
28790.0,349.0,128.0
28790.0,349.0,128.0
28790.0,349.0,128.0
28800.0,350.0,128.0
28800.0,350.0,128.0
28800.0,350.0,128.0
28800.0,349.0,128.0
28800.0,349.0,128.0
28800.0,349.0,128.0
28810.0,349.0,129.0
28810.0,349.0,129.0
28810.0,349.0,129.0
28810.0,349.0,129.0
28810.0,349.0,129.0
28810.0,349.0,129.0
28820.0,349.0,129.0
28820.0,349.0,129.0
28820.0,349.0,129.0
28820.0,349.0,129.0
28820.0,349.0,129.0
28820.0,349.0,129.0
28830.0,349.0,129.0
28830.0,349.0,129.0
28830.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28840.0,349.0,129.0
28850.0,349.0,129.0
28850.0,349.0,129.0
28850.0,349.0,129.0
28850.0,349.0,129.0
28850.0,349.0,129.0
