Nor_Vel,East_Vel,Down_Vel,LAT,Long,Nx_Accel,Ny_Accel,Nz_Accel,Nor_Accel,Mag_Head,Roll,Pitch,True_Head,Gnd_Track,Roll_Rate,Pitch_Rate,Yaw_Rate,TAS,CAS,Gnd_Speed,MACH,True_AOA,Indi_AOA,Corr_Alt,SYS_Alt,BARO_Alt,RALT_Alt,Wind_Mag,Wind_Dir,MS_Mode,AC_Mode,FOM,Fuel,UTC
-279,612,-51,-0.172455,-0.281103,0.43815,3.06705,19.078575,1.959155,126,2.427979,15.232544,111.763916,128,-1.516113,1.955566,0.0,538,360,673,0.896484,5,2,27953,28172,27968,,145,319,2,12,1,3489,54813168
-279,611,-53,-0.172456,-0.281101,0.6477,3.019425,18.773775,1.928571,126,2.49939,15.397339,111.769409,128,1.164551,1.472168,0.043945,538,359,672,0.894531,5,1,27978,28188,27990,,145,319,2,12,1,3489,54813276
-279,610,-54,-0.172457,-0.281099,0.295275,3.1242,18.42135,1.894276,126,2.850952,15.501709,111.785889,128,5.559082,0.900879,0.131836,538,359,671,0.894531,5,2,27988,28204,28000,,145,319,2,12,1,3488,54813368
-279,610,-57,-0.172458,-0.281097,-0.01905,3.114675,18.249901,1.875447,126,3.812256,15.556641,111.813354,128,12.458496,0.395508,0.285645,537,358,671,0.892578,5,1,28005,28224,28018,,145,319,2,12,1,3488,54813476
-279,609,-58,-0.172458,-0.281096,-0.5334,3.0861,17.345026,1.784534,126,5.300903,15.57312,111.8573,128,17.358398,0.021973,0.505371,537,359,670,0.892578,5,1,28010,28240,28023,,145,319,2,12,1,3487,54813572
-279,608,-60,-0.172459,-0.281094,-0.81915,3.1623,16.754475,1.728775,126,7.514648,15.562134,111.928711,128,24.213867,0.0,0.769043,537,358,670,0.892578,4,0,28038,28256,28053,,146,319,2,12,1,3487,54813676
-280,608,-61,-0.17246,-0.281092,-1.590675,3.171825,15.86865,1.645314,126,10.15686,15.551147,112.022095,128,27.883301,0.175781,1.032715,537,358,669,0.892578,4,0,28048,28276,28060,,146,319,2,12,1,3487,54813768
-280,607,-64,-0.17246,-0.28109,-2.028825,3.076575,14.80185,1.541681,126,13.282471,15.562134,112.148438,128,32.211914,0.571289,1.296387,536,358,669,0.892578,4,0,28075,28292,28088,,146,319,2,12,1,3486,54813876
-280,607,-65,-0.172461,-0.281088,-2.7432,3.171825,14.097,1.485385,126,16.583862,15.600586,112.313232,129,33.00293,0.900879,1.516113,536,357,669,0.892578,4,-1,28083,28312,28098,,146,320,2,12,1,3486,54813968
-281,606,-67,-0.172462,-0.281087,-3.3147,3.324225,13.573125,1.449794,126,20.10498,15.650024,112.516479,129,35.332031,1.142578,1.801758,536,357,668,0.890625,3,-1,28110,28328,28123,,146,320,2,12,1,3486,54814080
-282,605,-68,-0.172463,-0.281085,-4.048125,3.514725,13.154025,1.433235,126,23.659058,15.688477,112.747192,129,34.870605,1.252441,2.087402,536,357,668,0.892578,3,-1,28120,28348,28133,,146,320,2,12,1,3486,54814168
-283,605,-71,-0.172463,-0.281083,-4.657725,3.609975,12.639675,1.40558,127,27.268066,15.710449,113.021851,129,35.881348,1.340332,2.373047,536,356,668,0.890625,3,-1,28148,28368,28160,,146,320,2,12,1,3486,54814276
-284,604,-72,-0.172464,-0.281081,-5.248275,3.762375,12.087225,1.380728,127,30.910034,15.704956,113.318481,129,35.244141,1.340332,2.636719,536,356,668,0.890625,3,-1,28160,28384,28175,,146,320,2,12,1,3485,54814368
-285,603,-74,-0.172465,-0.281079,-5.838825,3.79095,11.249025,1.332079,127,34.573975,15.671997,113.637085,129,36.035156,1.340332,2.900391,535,356,667,0.890625,3,-1,28180,28404,28193,,146,320,2,12,1,3485,54814476
-286,603,-75,-0.172466,-0.281078,-6.41985,3.90525,10.772775,1.32158,128,38.259888,15.595093,113.966675,129,35.771484,1.252441,3.076172,535,355,667,0.888672,3,-1,28190,28424,28203,,146,320,2,12,1,3485,54814572
-287,602,-78,-0.172466,-0.281076,-6.924675,3.933825,10.00125,1.285846,128,41.96228,15.479736,114.301758,129,36.430664,1.120605,3.317871,535,355,667,0.888672,3,-1,28218,28440,28230,,146,320,2,12,1,3485,54814676
-289,601,-79,-0.172467,-0.281074,-7.25805,3.895725,9.286875,1.247011,128,45.708618,15.314941,114.631348,129,36.430664,0.922852,3.515625,535,355,667,0.888672,3,-1,28228,28460,28240,,146,320,2,12,1,3485,54814768
-290,600,-81,-0.172468,-0.281072,-7.591425,3.79095,8.2677,1.189772,129,49.460449,15.100708,114.949951,130,37.001953,0.769043,3.735352,534,354,667,0.888672,3,-2,28255,28480,28268,,146,320,2,12,1,3486,54814876
-292,600,-82,-0.172469,-0.28107,-7.743825,3.75285,7.4676,1.144204,129,53.283691,14.842529,115.252075,130,37.63916,0.65918,3.911133,534,354,667,0.888672,3,-2,28268,28500,28280,,146,320,2,12,1,3487,54814968
-293,599,-84,-0.172469,-0.281069,-7.800975,3.476625,6.353175,1.067673,129,57.134399,14.551392,115.548706,130,38.122559,0.65918,4.108887,534,354,667,0.888672,3,-2,28295,28516,28308,,146,320,2,12,1,3488,54815080
-295,598,-85,-0.17247,-0.281067,-8.067675,3.48615,5.553075,1.043856,130,61.089478,14.232788,115.828857,130,39.331055,0.74707,4.21875,534,354,667,0.888672,2,-2,28305,28536,28318,,146,320,2,12,1,3488,54815168
-296,598,-88,-0.172471,-0.281065,-8.086725,3.190875,4.676775,0.988514,130,65.143433,13.886719,116.103516,130,40.385742,0.878906,4.328613,534,354,667,0.886719,2,-2,28333,28556,28345,,146,320,2,12,1,3489,54815276
-298,597,-88,-0.172472,-0.281063,-8.02005,2.95275,3.838575,0.936512,130,69.318237,13.52417,116.367188,130,41.52832,1.010742,4.394531,534,353,667,0.886719,2,-3,28343,28572,28355,,146,320,2,12,1,3489,54815368
-299,596,-91,-0.172472,-0.281061,-8.13435,2.752725,3.0861,0.909971,130,73.575439,13.139648,116.61438,130,42.363281,1.07666,4.438477,534,353,667,0.886719,2,-3,28363,28592,28378,,146,320,2,12,1,3490,54815476
-301,596,-91,-0.172473,-0.28106,-8.220075,2.695575,2.295525,0.893505,131,77.926025,12.733154,116.834106,130,43.483887,1.07666,4.438477,533,353,667,0.886719,2,-3,28370,28608,28385,,146,320,2,12,1,3490,54815572
-303,595,-93,-0.172474,-0.281058,-8.0772,2.447925,1.628775,0.856035,131,82.337036,12.310181,117.015381,131,43.659668,1.010742,4.460449,533,353,668,0.886719,2,-3,28395,28628,28408,,146,320,2,12,1,3491,54815676
-304,595,-94,-0.172475,-0.281056,-7.629525,2.066925,0.866775,0.789231,131,86.77002,11.876221,117.15271,131,44.384766,0.944824,4.482422,533,352,668,0.886719,2,-3,28405,28644,28418,,146,320,2,12,1,3491,54815768
-305,595,-96,-0.172475,-0.281054,-7.343775,1.80975,0.1905,0.749533,131,91.235962,11.431274,117.246094,131,44.560547,0.812988,4.504395,533,352,668,0.886719,2,-3,28430,28660,28443,,146,320,2,12,1,3491,54815876
-307,594,-96,-0.172476,-0.281052,-6.886575,1.46685,-0.428625,0.696156,131,95.718384,10.980835,117.295532,131,44.824219,0.74707,4.482422,533,352,669,0.886719,2,-3,28443,28680,28455,,146,320,2,12,1,3492,54815968
-308,594,-98,-0.172477,-0.281051,-6.391275,1.16205,-0.962025,0.645954,131,100.233765,10.530396,117.306519,131,45.241699,0.703125,4.460449,533,352,669,0.886719,2,-3,28473,28696,28485,,146,320,2,12,1,3492,54816080
-309,594,-98,-0.172478,-0.281049,-5.895975,0.809625,-1.39065,0.597043,131,104.793091,10.079956,117.284546,131,45.791016,0.769043,4.438477,533,352,670,0.886719,2,-3,28480,28712,28493,,146,320,2,12,1,3492,54816168
-310,594,-99,-0.172479,-0.281047,-5.438775,0.504825,-1.905,0.561678,131,109.379883,9.63501,117.229614,131,46.010742,0.834961,4.394531,533,352,670,0.886719,2,-3,28508,28728,28520,,146,320,2,12,1,3492,54816276
-311,594,-100,-0.172479,-0.281045,-4.9149,0.257175,-2.15265,0.519031,131,114.038086,9.195557,117.15271,131,46.889648,0.966797,4.328613,533,352,670,0.886719,2,-4,28518,28740,28530,,146,320,2,12,1,3492,54816368
-312,594,-101,-0.17248,-0.281044,-4.371975,-0.13335,-2.371725,0.472549,131,118.712769,8.772583,117.053833,131,46.647949,1.054688,4.174805,532,351,671,0.886719,1,-4,28543,28756,28555,,146,320,2,12,1,3492,54816476
-313,594,-101,-0.172481,-0.281042,-3.819525,-0.28575,-2.505075,0.43339,131,123.294067,8.371582,116.938477,132,45.571289,1.010742,3.933105,532,351,671,0.884766,1,-4,28543,28776,28555,,146,320,2,12,1,3492,54816572
-314,594,-102,-0.172482,-0.28104,-3.3528,-0.6096,-2.581275,0.395839,131,127.705078,8.009033,116.795654,132,43.527832,0.922852,3.691406,532,351,671,0.884766,1,-4,28568,28788,28583,,146,320,2,12,1,3492,54816676
-314,594,-102,-0.172483,-0.281038,-2.790825,-0.85725,-2.524125,0.348245,130,131.918335,7.679443,116.630859,132,41.813965,0.878906,3.493652,532,351,672,0.884766,1,-4,28575,28804,28590,,146,320,2,12,1,3491,54816768
-315,594,-103,-0.172483,-0.281037,-2.333625,-1.08585,-2.45745,0.310799,130,135.966797,7.388306,116.449585,132,40.166016,0.74707,3.273926,532,351,672,0.886719,1,-4,28603,28816,28615,,146,320,2,12,1,3491,54816876
-315,594,-103,-0.172484,-0.281035,-1.80975,-1.266825,-2.257425,0.262599,130,139.844971,7.130127,116.251831,132,38.430176,0.571289,3.076172,532,351,673,0.884766,1,-4,28610,28828,28625,,146,320,2,12,1,3490,54816968
-315,595,-103,-0.172485,-0.281033,-1.304925,-1.514475,-1.9431,0.207431,130,143.525391,6.9104,116.048584,132,36.276855,0.41748,2.856445,532,351,673,0.886719,1,-5,28630,28840,28643,,146,320,2,12,1,3490,54817080
-316,595,-103,-0.172486,-0.281031,-0.942975,-1.54305,-1.7145,0.172946,130,147.01355,6.729126,115.845337,132,34.387207,0.307617,2.614746,532,351,673,0.886719,1,-5,28638,28852,28650,,146,320,2,12,1,3489,54817168
-316,595,-103,-0.172487,-0.281029,-0.447675,-1.685925,-1.16205,0.102779,129,150.3479,6.575317,115.647583,132,32.937012,0.241699,2.39502,532,351,674,0.886719,1,-5,28660,28864,28673,,146,320,2,12,1,3489,54817276
-316,596,-103,-0.172488,-0.281028,-0.085725,-1.876425,-0.752475,0.052462,129,153.561401,6.443481,115.460815,132,31.794434,0.241699,2.15332,532,351,674,0.886719,1,-5,28668,28876,28680,,146,320,2,12,1,3488,54817368
-316,596,-103,-0.172488,-0.281026,0.17145,-1.8669,-0.3048,0.006134,129,156.626587,6.339111,115.285034,132,30.168457,0.197754,1.933594,532,350,674,0.886719,0,-5,28688,28888,28700,,146,320,2,12,1,3488,54817476
-316,596,-103,-0.172489,-0.281024,0.32385,-1.838325,0.180975,-0.039929,129,159.510498,6.262207,115.125732,132,27.993164,0.109863,1.669922,532,350,675,0.886719,0,-5,28688,28896,28700,,146,320,2,12,1,3488,54817572
-316,597,-102,-0.17249,-0.281022,0.5334,-1.952625,0.6477,-0.087519,129,162.147217,6.201782,114.988403,132,25.598145,0.065918,1.296387,532,350,675,0.886719,0,-6,28705,28904,28718,,146,320,2,12,1,3487,54817676
-316,597,-102,-0.172491,-0.28102,0.6858,-1.895475,1.114425,-0.132581,129,164.569702,6.168823,114.87854,132,23.642578,0.043945,1.07666,532,350,675,0.886719,0,-6,28713,28916,28725,,146,320,2,12,1,3487,54817768
-315,598,-101,-0.172492,-0.281019,0.923925,-1.990725,1.54305,-0.176321,129,166.849365,6.146851,114.785156,132,22.675781,0.065918,0.900879,532,350,676,0.886719,0,-6,28730,28924,28743,,146,320,2,12,1,3487,54817876
-315,598,-100,-0.172492,-0.281017,0.8763,-1.876425,1.8669,-0.202276,128,169.085083,6.130371,114.702759,132,22.434082,0.021973,0.812988,532,350,676,0.886719,0,-6,28735,28936,28748,,146,320,2,12,1,3486,54817968
-315,598,-99,-0.172493,-0.281015,0.866775,-1.800225,2.45745,-0.256471,128,171.315308,6.119385,114.631348,132,22.302246,0.0,0.637207,532,350,676,0.886719,0,-6,28748,28944,28760,,146,320,2,12,1,3486,54818080
-315,599,-99,-0.172494,-0.281013,0.828675,-1.69545,3.02895,-0.309115,128,173.545532,6.113892,114.576416,132,22.478027,-0.043945,0.483398,532,350,676,0.886719,0,-7,28750,28952,28763,,146,320,2,12,1,3486,54818168
-315,599,-97,-0.172495,-0.281011,0.78105,-1.666875,3.571875,-0.35898,128,175.748291,6.113892,114.543457,131,21.555176,0.043945,0.307617,531,350,677,0.884766,-1,-7,28765,28964,28778,,146,320,2,12,1,3485,54818276
-315,599,-96,-0.172496,-0.28101,0.657225,-1.438275,3.98145,-0.397028,128,177.753296,6.102905,114.526978,131,18.830566,0.087891,0.0,531,349,677,0.884766,-1,-7,28770,28972,28783,,146,320,2,12,1,3485,54818368
-314,600,-95,-0.172496,-0.281008,0.43815,-1.247775,4.219575,-0.418558,128,179.401245,6.086426,114.54895,131,14.743652,0.131836,-0.373535,532,350,677,0.886719,-1,-7,28783,28980,28798,,146,320,2,12,1,3485,54818476
-314,600,-94,-0.172497,-0.281006,0.390525,-1.209675,4.70535,-0.466128,128,-179.390259,6.05896,114.603882,131,10.393066,0.219727,-0.637207,531,349,677,0.886719,-1,-7,28785,28988,28798,,146,320,2,12,1,3485,54818572
-314,600,-92,-0.172498,-0.281004,0.3048,-1.143,4.829175,-0.477932,128,-178.59375,6.036987,114.675293,131,6.350098,0.285645,-0.812988,532,350,677,0.886719,-1,-8,28795,28996,28808,,146,320,2,12,1,3484,54818676
-314,600,-91,-0.172499,-0.281002,0.257175,-1.16205,4.943475,-0.488612,129,-178.154297,6.009521,114.763184,131,3.493652,0.32959,-0.878906,531,349,677,0.886719,-1,-8,28798,29004,28810,,146,320,2,12,1,3484,54818768
-314,600,-88,-0.1725,-0.281001,0.180975,-1.143,5.229225,-0.517389,129,-177.890625,5.971069,114.845581,131,2.109375,0.41748,-0.856934,531,349,678,0.886719,-1,-8,28808,29012,28820,,146,320,2,12,1,3484,54818876
-314,601,-88,-0.1725,-0.280999,0.257175,-1.209675,5.343525,-0.528147,129,-177.709351,5.921631,114.933472,131,1.647949,0.505371,-0.834961,531,349,678,0.886719,-1,-8,28808,29020,28820,,146,320,2,12,1,3484,54818968
-314,601,-85,-0.172501,-0.280997,0.0,-1.1049,5.553075,-0.550315,129,-177.550049,5.866699,115.010376,131,1.538086,0.593262,-0.791016,531,349,678,0.886719,-1,-8,28818,29028,28830,,146,320,2,12,1,3484,54819076
-314,601,-84,-0.172502,-0.280995,0.047625,-1.04775,5.5626,-0.551939,129,-177.418213,5.806274,115.081787,131,1.252441,0.571289,-0.725098,531,349,678,0.886719,-1,-8,28820,29036,28833,,146,320,2,12,1,3483,54819168
