SPEED,ALT
40.0,2060.0
40.0,2060.0
40.0,2060.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2060.0
40.0,2060.0
40.0,2060.0
40.0,2060.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2060.0
40.0,2060.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,
40.0,2060.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2060.0
40.0,2060.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2060.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
40.0,2070.0
