SPEED,ALT
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
,11660.0
,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
113.0,11660.0
,11660.0
,11660.0
113.0,11680.0
113.0,11680.0
,11680.0
112.0,11700.0
112.0,11700.0
112.0,11700.0
112.0,11720.0
112.0,11720.0
112.0,11720.0
112.0,11740.0
112.0,11740.0
112.0,11760.0
112.0,11760.0
112.0,11780.0
,11780.0
111.0,11800.0
111.0,11800.0
111.0,11800.0
111.0,11820.0
111.0,11820.0
111.0,
111.0,11840.0
111.0,11840.0
110.0,11860.0
110.0,11860.0
110.0,11880.0
110.0,11880.0
110.0,11880.0
110.0,11880.0
110.0,11900.0
109.0,11900.0
109.0,11900.0
109.0,11920.0
109.0,
109.0,11920.0
108.0,11920.0
108.0,11940.0
,11940.0
108.0,11940.0
108.0,11940.0
108.0,11960.0
108.0,11960.0
108.0,11960.0
108.0,11960.0
108.0,11980.0
108.0,11980.0
107.0,11980.0
108.0,11980.0
108.0,11980.0
108.0,11980.0
108.0,11980.0
108.0,11980.0
108.0,11980.0
108.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,11980.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
107.0,12000.0
106.0,12000.0
106.0,12000.0
106.0,12020.0
106.0,12020.0
106.0,12020.0
106.0,12020.0
106.0,12020.0
105.0,12040.0
105.0,12040.0
105.0,12040.0
105.0,12040.0
105.0,12040.0
105.0,12040.0
104.0,
104.0,12040.0
104.0,12040.0
104.0,12040.0
104.0,12060.0
104.0,12040.0
104.0,12060.0
104.0,12060.0
104.0,12060.0
104.0,12060.0
104.0,12060.0
104.0,12060.0
104.0,12060.0
,12060.0
104.0,12060.0
,12060.0
,12060.0
104.0,12060.0
104.0,12060.0
104.0,12060.0
104.0,12080.0
104.0,12060.0
104.0,12060.0
104.0,12060.0
,12060.0
104.0,12080.0
104.0,12080.0
104.0,12080.0
,12080.0
104.0,12080.0
104.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
103.0,12080.0
,12080.0
103.0,12080.0
102.0,12080.0
102.0,12080.0
102.0,12080.0
102.0,12080.0
102.0,12080.0
102.0,12080.0
102.0,12080.0
,12080.0
,12100.0
102.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,
101.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,12100.0
101.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,12100.0
100.0,
99.0,
99.0,12100.0
99.0,12120.0
100.0,12120.0
99.0,12120.0
99.0,12120.0
99.0,12120.0
99.0,12120.0
98.0,12100.0
99.0,12120.0
98.0,12120.0
99.0,
99.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
98.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
98.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
97.0,12120.0
96.0,12120.0
96.0,12120.0
96.0,12120.0
,12120.0
96.0,12120.0
96.0,12140.0
